#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
ASPE   CA    CT   1.9    0.72
ASPE   HA    H1   1.25    0.85
ASPE   CB    CT   1.9    0.72
ASPE   HB2    HC   1.25    0.85
ASPE   HB3    HC   1.25    0.85
ASPE   CG    C   1.875    0.72
ASPE   OD1    O2   1.48    0.85
ASPE   OD2    O2   1.48    0.85
ASPE   C    C   1.875    0.72
ASPE   OXT    O2   1.48    0.85
ASPE   O    O2   1.48    0.85
LYSE   N    N   1.7063    0.79
LYSE   H    H   1.15    0.85
LYSE   CA    CT   1.9    0.72
LYSE   HA    H1   1.25    0.85
LYSE   CB    CT   1.9    0.72
LYSE   HB2    HC   1.25    0.85
LYSE   HB3    HC   1.25    0.85
LYSE   CG    CT   1.9    0.72
LYSE   HG2    HC   1.25    0.85
LYSE   HG3    HC   1.25    0.85
LYSE   CD    CT   1.9    0.72
LYSE   HD2    HC   1.25    0.85
LYSE   HD3    HC   1.25    0.85
LYSE   CE    CT   1.9    0.72
LYSE   HE2    HP   1.25    0.85
LYSE   HE3    HP   1.25    0.85
LYSE   NZ    N3   1.625    0.79
LYSE   HZ1    H   1.15    0.85
LYSE   HZ2    H   1.15    0.85
LYSE   HZ3    H   1.15    0.85
LYSE   C    C   1.875    0.72
LYSE   OXT    O2   1.48    0.85
LYSE   O    O2   1.48    0.85
PROE   N    N   1.7063    0.79
PROE   CD    CT   1.9    0.72
PROE   HD2    H1   1.25    0.85
PROE   HD3    H1   1.25    0.85
PROE   CG    CT   1.9    0.72
PROE   HG2    HC   1.25    0.85
PROE   HG3    HC   1.25    0.85
PROE   CB    CT   1.9    0.72
PROE   HB2    HC   1.25    0.85
PROE   HB3    HC   1.25    0.85
PROE   CA    CT   1.9    0.72
PROE   HA    H1   1.25    0.85
PROE   C    C   1.875    0.72
PROE   OXT    O2   1.48    0.85
PROE   O    O2   1.48    0.85
CYSE   N    N   1.7063    0.79
CYSE   H    H   1.15    0.85
CYSE   CA    CT   1.9    0.72
CYSE   HA    H1   1.25    0.85
CYSE   CB    CT   1.9    0.72
CYSE   HB2    H1   1.25    0.85
CYSE   HB3    H1   1.25    0.85
CYSE   SG    SH   1.775    0.96
CYSE   HG    HS   1.25    0.85
CYSE   C    C   1.875    0.72
CYSE   OXT    O2   1.48    0.85
CYSE   O    O2   1.48    0.85
CYXE   N    N   1.7063    0.79
CYXE   H    H   1.15    0.85
CYXE   CA    CT   1.9    0.72
CYXE   HA    H1   1.25    0.85
CYXE   CB    CT   1.9    0.72
CYXE   HB2    H1   1.25    0.85
CYXE   HB3    H1   1.25    0.85
CYXE   SG    S   1.775    0.96
CYXE   C    C   1.875    0.72
CYXE   OXT    O2   1.48    0.85
CYXE   O    O2   1.48    0.85
METE   N    N   1.7063    0.79
METE   H    H   1.15    0.85
METE   CA    CT   1.9    0.72
METE   HA    H1   1.25    0.85
METE   CB    CT   1.9    0.72
METE   HB2    HC   1.25    0.85
METE   HB3    HC   1.25    0.85
METE   CG    CT   1.9    0.72
METE   HG2    H1   1.25    0.85
METE   HG3    H1   1.25    0.85
METE   SD    S   1.775    0.96
METE   CE    CT   1.9    0.72
METE   HE1    H1   1.25    0.85
METE   HE2    H1   1.25    0.85
METE   HE3    H1   1.25    0.85
METE   C    C   1.875    0.72
METE   OXT    O2   1.48    0.85
METE   O    O2   1.48    0.85
ALAB   N    N3   1.625    0.79
ALAB   H1    H   1.15    0.85
ALAB   H2    H   1.15    0.85
ALAB   H3    H   1.15    0.85
ALAB   CA    CT   1.9    0.72
ALAB   HA    HP   1.25    0.85
ALAB   CB    CT   1.9    0.72
ALAB   HB1    HC   1.25    0.85
ALAB   HB2    HC   1.25    0.85
ALAB   HB3    HC   1.25    0.85
ALAB   C    C   1.875    0.72
ALAB   O    O   1.48    0.85
GLYB   N    N3   1.625    0.79
GLYB   H1    H   1.15    0.85
GLYB   H2    H   1.15    0.85
GLYB   H3    H   1.15    0.85
GLYB   CA    CT   1.9    0.72
GLYB   HA2    HP   1.25    0.85
GLYB   HA3    HP   1.25    0.85
GLYB   C    C   1.875    0.72
GLYB   O    O   1.48    0.85
SERB   N    N3   1.625    0.79
SERB   H1    H   1.15    0.85
SERB   H2    H   1.15    0.85
SERB   H3    H   1.15    0.85
SERB   CA    CT   1.9    0.72
SERB   HA    HP   1.25    0.85
SERB   CB    CT   1.9    0.72
SERB   HB2    H1   1.25    0.85
SERB   HB3    H1   1.25    0.85
SERB   OG    OH   1.535    0.85
SERB   HG    HO   1.05    0.85
SERB   C    C   1.875    0.72
SERB   O    O   1.48    0.85
THRB   N    N3   1.625    0.79
THRB   H1    H   1.15    0.85
THRB   H2    H   1.15    0.85
THRB   H3    H   1.15    0.85
THRB   CA    CT   1.9    0.72
THRB   HA    HP   1.25    0.85
THRB   CB    CT   1.9    0.72
THRB   HB    H1   1.25    0.85
THRB   CG2    CT   1.9    0.72
THRB   HG21    HC   1.25    0.85
THRB   HG22    HC   1.25    0.85
THRB   HG23    HC   1.25    0.85
THRB   OG1    OH   1.535    0.85
THRB   HG1    HO   1.05    0.85
THRB   C    C   1.875    0.72
THRB   O    O   1.48    0.85
LEUB   N    N3   1.625    0.79
LEUB   H1    H   1.15    0.85
LEUB   H2    H   1.15    0.85
LEUB   H3    H   1.15    0.85
LEUB   CA    CT   1.9    0.72
LEUB   HA    HP   1.25    0.85
LEUB   CB    CT   1.9    0.72
LEUB   HB2    HC   1.25    0.85
LEUB   HB3    HC   1.25    0.85
LEUB   CG    CT   1.9    0.72
LEUB   HG    HC   1.25    0.85
LEUB   CD1    CT   1.9    0.72
LEUB   HD11    HC   1.25    0.85
LEUB   HD12    HC   1.25    0.85
LEUB   HD13    HC   1.25    0.85
LEUB   CD2    CT   1.9    0.72
LEUB   HD21    HC   1.25    0.85
LEUB   HD22    HC   1.25    0.85
LEUB   HD23    HC   1.25    0.85
LEUB   C    C   1.875    0.72
LEUB   O    O   1.48    0.85
ILEB   N    N3   1.625    0.79
ILEB   H1    H   1.15    0.85
ILEB   H2    H   1.15    0.85
ILEB   H3    H   1.15    0.85
ILEB   CA    CT   1.9    0.72
ILEB   HA    HP   1.25    0.85
ILEB   CB    CT   1.9    0.72
ILEB   HB    HC   1.25    0.85
ILEB   CG2    CT   1.9    0.72
ILEB   HG21    HC   1.25    0.85
ILEB   HG22    HC   1.25    0.85
ILEB   HG23    HC   1.25    0.85
ILEB   CG1    CT   1.9    0.72
ILEB   HG12    HC   1.25    0.85
ILEB   HG13    HC   1.25    0.85
ILEB   CD1    CT   1.9    0.72
ILEB   HD11    HC   1.25    0.85
ILEB   HD12    HC   1.25    0.85
ILEB   HD13    HC   1.25    0.85
ILEB   C    C   1.875    0.72
ILEB   O    O   1.48    0.85
VALB   N    N3   1.625    0.79
VALB   H1    H   1.15    0.85
VALB   H2    H   1.15    0.85
VALB   H3    H   1.15    0.85
VALB   CA    CT   1.9    0.72
VALB   HA    HP   1.25    0.85
VALB   CB    CT   1.9    0.72
VALB   HB    HC   1.25    0.85
VALB   CG1    CT   1.9    0.72
VALB   HG11    HC   1.25    0.85
VALB   HG12    HC   1.25    0.85
VALB   HG13    HC   1.25    0.85
VALB   CG2    CT   1.9    0.72
VALB   HG21    HC   1.25    0.85
VALB   HG22    HC   1.25    0.85
VALB   HG23    HC   1.25    0.85
VALB   C    C   1.875    0.72
VALB   O    O   1.48    0.85
ASNB   N    N3   1.625    0.79
ASNB   H1    H   1.15    0.85
ASNB   H2    H   1.15    0.85
ASNB   H3    H   1.15    0.85
ASNB   CA    CT   1.9    0.72
ASNB   HA    HP   1.25    0.85
ASNB   CB    CT   1.9    0.72
ASNB   HB2    HC   1.25    0.85
ASNB   HB3    HC   1.25    0.85
ASNB   CG    C   1.875    0.72
ASNB   OD1    O   1.48    0.85
ASNB   ND2    N   1.7063    0.79
ASNB   HD21    H   1.15    0.85
ASNB   HD22    H   1.15    0.85
ASNB   C    C   1.875    0.72
ASNB   O    O   1.48    0.85
GLNB   N    N3   1.625    0.79
GLNB   H1    H   1.15    0.85
GLNB   H2    H   1.15    0.85
GLNB   H3    H   1.15    0.85
GLNB   CA    CT   1.9    0.72
GLNB   HA    HP   1.25    0.85
GLNB   CB    CT   1.9    0.72
GLNB   HB2    HC   1.25    0.85
GLNB   HB3    HC   1.25    0.85
GLNB   CG    CT   1.9    0.72
GLNB   HG2    HC   1.25    0.85
GLNB   HG3    HC   1.25    0.85
GLNB   CD    C   1.875    0.72
GLNB   OE1    O   1.48    0.85
GLNB   NE2    N   1.7063    0.79
GLNB   HE21    H   1.15    0.85
GLNB   HE22    H   1.15    0.85
GLNB   C    C   1.875    0.72
GLNB   O    O   1.48    0.85
ARGB   N    N3   1.625    0.79
ARGB   H1    H   1.15    0.85
ARGB   H2    H   1.15    0.85
ARGB   H3    H   1.15    0.85
ARGB   CA    CT   1.9    0.72
ARGB   HA    HP   1.25    0.85
ARGB   CB    CT   1.9    0.72
ARGB   HB2    HC   1.25    0.85
ARGB   HB3    HC   1.25    0.85
ARGB   CG    CT   1.9    0.72
ARGB   HG2    HC   1.25    0.85
ARGB   HG3    HC   1.25    0.85
ARGB   CD    CT   1.9    0.72
ARGB   HD2    H1   1.25    0.85
ARGB   HD3    H1   1.25    0.85
ARGB   NE    N2   1.7063    0.79
ARGB   HE    H   1.15    0.85
ARGB   CZ    CA   1.875    0.72
ARGB   NH1    N2   1.7063    0.79
ARGB   HH11    H   1.15    0.85
ARGB   HH12    H   1.15    0.85
ARGB   NH2    N2   1.7063    0.79
ARGB   HH21    H   1.15    0.85
ARGB   HH22    H   1.15    0.85
ARGB   C    C   1.875    0.72
ARGB   O    O   1.48    0.85
HIDB   N    N3   1.625    0.79
HIDB   H1    H   1.15    0.85
HIDB   H2    H   1.15    0.85
HIDB   H3    H   1.15    0.85
HIDB   CA    CT   1.9    0.72
HIDB   HA    HP   1.25    0.85
HIDB   CB    CT   1.9    0.72
HIDB   HB2    HC   1.25    0.85
HIDB   HB3    HC   1.25    0.85
HIDB   CG    CC   1.875    0.72
HIDB   ND1    NA   1.7063    0.79
HIDB   HD1    H   1.15    0.85
HIDB   CE1    CR   1.875    0.72
HIDB   HE1    H5   1.25    0.85
HIDB   NE2    NB   1.7063    0.79
HIDB   CD2    CV   1.875    0.72
HIDB   HD2    H4   1.15    0.85
HIDB   C    C   1.875    0.72
HIDB   O    O   1.48    0.85
HIEB   N    N3   1.625    0.79
HIEB   H1    H   1.15    0.85
HIEB   H2    H   1.15    0.85
HIEB   H3    H   1.15    0.85
HIEB   CA    CT   1.9    0.72
HIEB   HA    HP   1.25    0.85
HIEB   CB    CT   1.9    0.72
HIEB   HB2    HC   1.25    0.85
HIEB   HB3    HC   1.25    0.85
HIEB   CG    CC   1.875    0.72
HIEB   ND1    NB   1.7063    0.79
HIEB   CE1    CR   1.875    0.72
HIEB   HE1    H5   1.25    0.85
HIEB   NE2    NA   1.7063    0.79
HIEB   HE2    H   1.15    0.85
HIEB   CD2    CW   1.875    0.72
HIEB   HD2    H4   1.15    0.85
HIEB   C    C   1.875    0.72
HIEB   O    O   1.48    0.85
HIPB   N    N3   1.625    0.79
HIPB   H1    H   1.15    0.85
HIPB   H2    H   1.15    0.85
HIPB   H3    H   1.15    0.85
HIPB   CA    CT   1.9    0.72
HIPB   HA    HP   1.25    0.85
HIPB   CB    CT   1.9    0.72
HIPB   HB2    HC   1.25    0.85
HIPB   HB3    HC   1.25    0.85
HIPB   CG    CC   1.875    0.72
HIPB   ND1    NA   1.7063    0.79
HIPB   HD1    H   1.15    0.85
HIPB   CE1    CR   1.875    0.72
HIPB   HE1    H5   1.25    0.85
HIPB   NE2    NA   1.7063    0.79
HIPB   HE2    H   1.15    0.85
HIPB   CD2    CW   1.875    0.72
HIPB   HD2    H4   1.15    0.85
HIPB   C    C   1.875    0.72
HIPB   O    O   1.48    0.85
TRPB   N    N3   1.625    0.79
TRPB   H1    H   1.15    0.85
TRPB   H2    H   1.15    0.85
TRPB   H3    H   1.15    0.85
TRPB   CA    CT   1.9    0.72
TRPB   HA    HP   1.25    0.85
TRPB   CB    CT   1.9    0.72
TRPB   HB2    HC   1.25    0.85
TRPB   HB3    HC   1.25    0.85
TRPB   CG    C*   1.875    0.72
TRPB   CD1    CW   1.875    0.72
TRPB   HD1    H4   1.15    0.85
TRPB   NE1    NA   1.7063    0.79
TRPB   HE1    H   1.15    0.85
TRPB   CE2    CN   1.875    0.72
TRPB   CZ2    CA   1.875    0.72
TRPB   HZ2    HA   1.25    0.85
TRPB   CH2    CA   1.875    0.72
TRPB   HH2    HA   1.25    0.85
TRPB   CZ3    CA   1.875    0.72
TRPB   HZ3    HA   1.25    0.85
TRPB   CE3    CA   1.875    0.72
TRPB   HE3    HA   1.25    0.85
TRPB   CD2    CB   1.875    0.72
TRPB   C    C   1.875    0.72
TRPB   O    O   1.48    0.85
PHEB   N    N3   1.625    0.79
PHEB   H1    H   1.15    0.85
PHEB   H2    H   1.15    0.85
PHEB   H3    H   1.15    0.85
PHEB   CA    CT   1.9    0.72
PHEB   HA    HP   1.25    0.85
PHEB   CB    CT   1.9    0.72
PHEB   HB2    HC   1.25    0.85
PHEB   HB3    HC   1.25    0.85
PHEB   CG    CA   1.875    0.72
PHEB   CD1    CA   1.875    0.72
PHEB   HD1    HA   1.25    0.85
PHEB   CE1    CA   1.875    0.72
PHEB   HE1    HA   1.25    0.85
PHEB   CZ    CA   1.875    0.72
PHEB   HZ    HA   1.25    0.85
PHEB   CE2    CA   1.875    0.72
PHEB   HE2    HA   1.25    0.85
PHEB   CD2    CA   1.875    0.72
PHEB   HD2    HA   1.25    0.85
PHEB   C    C   1.875    0.72
PHEB   O    O   1.48    0.85
TYRB   N    N3   1.625    0.79
TYRB   H1    H   1.15    0.85
TYRB   H2    H   1.15    0.85
TYRB   H3    H   1.15    0.85
TYRB   CA    CT   1.9    0.72
TYRB   HA    HP   1.25    0.85
TYRB   CB    CT   1.9    0.72
TYRB   HB2    HC   1.25    0.85
TYRB   HB3    HC   1.25    0.85
TYRB   CG    CA   1.875    0.72
TYRB   CD1    CA   1.875    0.72
TYRB   HD1    HA   1.25    0.85
TYRB   CE1    CA   1.875    0.72
TYRB   HE1    HA   1.25    0.85
TYRB   CZ    C   1.875    0.72
TYRB   OH    OH   1.535    0.85
TYRB   HH    HO   1.05    0.85
TYRB   CE2    CA   1.875    0.72
TYRB   HE2    HA   1.25    0.85
TYRB   CD2    CA   1.875    0.72
TYRB   HD2    HA   1.25    0.85
TYRB   C    C   1.875    0.72
TYRB   O    O   1.48    0.85
GLUB   N    N3   1.625    0.79
GLUB   H1    H   1.15    0.85
GLUB   H2    H   1.15    0.85
GLUB   H3    H   1.15    0.85
GLUB   CA    CT   1.9    0.72
GLUB   HA    HP   1.25    0.85
GLUB   CB    CT   1.9    0.72
GLUB   HB2    HC   1.25    0.85
GLUB   HB3    HC   1.25    0.85
GLUB   CG    CT   1.9    0.72
GLUB   HG2    HC   1.25    0.85
GLUB   HG3    HC   1.25    0.85
GLUB   CD    C   1.875    0.72
GLUB   OE1    O2   1.48    0.85
GLUB   OE2    O2   1.48    0.85
GLUB   C    C   1.875    0.72
GLUB   O    O   1.48    0.85
ASPB   N    N3   1.625    0.79
ASPB   H1    H   1.15    0.85
ASPB   H2    H   1.15    0.85
ASPB   H3    H   1.15    0.85
ASPB   CA    CT   1.9    0.72
ASPB   HA    HP   1.25    0.85
ASPB   CB    CT   1.9    0.72
ASPB   HB2    HC   1.25    0.85
ASPB   HB3    HC   1.25    0.85
ASPB   CG    C   1.875    0.72
ASPB   OD1    O2   1.48    0.85
ASPB   OD2    O2   1.48    0.85
ASPB   C    C   1.875    0.72
ASPB   O    O   1.48    0.85
LYSB   N    N3   1.625    0.79
LYSB   H1    H   1.15    0.85
LYSB   H2    H   1.15    0.85
LYSB   H3    H   1.15    0.85
LYSB   CA    CT   1.9    0.72
LYSB   HA    HP   1.25    0.85
LYSB   CB    CT   1.9    0.72
LYSB   HB2    HC   1.25    0.85
LYSB   HB3    HC   1.25    0.85
LYSB   CG    CT   1.9    0.72
LYSB   HG2    HC   1.25    0.85
LYSB   HG3    HC   1.25    0.85
LYSB   CD    CT   1.9    0.72
LYSB   HD2    HC   1.25    0.85
LYSB   HD3    HC   1.25    0.85
LYSB   CE    CT   1.9    0.72
LYSB   HE2    HP   1.25    0.85
LYSB   HE3    HP   1.25    0.85
LYSB   NZ    N3   1.625    0.79
LYSB   HZ1    H   1.15    0.85
LYSB   HZ2    H   1.15    0.85
LYSB   HZ3    H   1.15    0.85
LYSB   C    C   1.875    0.72
LYSB   O    O   1.48    0.85
PROB   N    N3   1.625    0.79
PROB   H1    H   1.15    0.85
PROB   H2    H   1.15    0.85
PROB   CD    CT   1.9    0.72
PROB   HD2    HP   1.25    0.85
PROB   HD3    HP   1.25    0.85
PROB   CG    CT   1.9    0.72
PROB   HG2    HC   1.25    0.85
PROB   HG3    HC   1.25    0.85
PROB   CB    CT   1.9    0.72
PROB   HB2    HC   1.25    0.85
PROB   HB3    HC   1.25    0.85
PROB   CA    CT   1.9    0.72
PROB   HA    HP   1.25    0.85
PROB   C    C   1.875    0.72
PROB   O    O   1.48    0.85
CYSB   N    N3   1.625    0.79
CYSB   H1    H   1.15    0.85
CYSB   H2    H   1.15    0.85
CYSB   H3    H   1.15    0.85
CYSB   CA    CT   1.9    0.72
CYSB   HA    HP   1.25    0.85
CYSB   CB    CT   1.9    0.72
CYSB   HB2    H1   1.25    0.85
CYSB   HB3    H1   1.25    0.85
CYSB   SG    SH   1.775    0.96
CYSB   HG    HS   1.25    0.85
CYSB   C    C   1.875    0.72
CYSB   O    O   1.48    0.85
CYXB   N    N3   1.625    0.79
CYXB   H1    H   1.15    0.85
CYXB   H2    H   1.15    0.85
CYXB   H3    H   1.15    0.85
CYXB   CA    CT   1.9    0.72
CYXB   HA    HP   1.25    0.85
CYXB   CB    CT   1.9    0.72
CYXB   HB2    H1   1.25    0.85
CYXB   HB3    H1   1.25    0.85
CYXB   SG    S   1.775    0.96
CYXB   C    C   1.875    0.72
CYXB   O    O   1.48    0.85
METB   N    N3   1.625    0.79
METB   H1    H   1.15    0.85
METB   H2    H   1.15    0.85
METB   H3    H   1.15    0.85
METB   CA    CT   1.9    0.72
METB   HA    HP   1.25    0.85
METB   CB    CT   1.9    0.72
METB   HB2    HC   1.25    0.85
METB   HB3    HC   1.25    0.85
METB   CG    CT   1.9    0.72
METB   HG2    H1   1.25    0.85
METB   HG3    H1   1.25    0.85
METB   SD    S   1.775    0.96
METB   CE    CT   1.9    0.72
METB   HE1    H1   1.25    0.85
METB   HE2    H1   1.25    0.85
METB   HE3    H1   1.25    0.85
METB   C    C   1.875    0.72
METB   O    O   1.48    0.85
#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
DAB   HO5'    HO   1.05    0.85
DAB   O5'    OH   1.535    0.85
DAB   C5'    CT   1.9    0.72
DAB   H5'    H1   1.25    0.85
DAB   H5''    H1   1.25    0.85
DAB   C4'    CT   1.9    0.72
DAB   H4'    H1   1.25    0.85
DAB   O4'    OS   2.00    0.80 
DAB   C1'    CT   1.9    0.72
DAB   H1'    H2   2.00    0.80 
DAB   N9    N*   2.00    0.80 
DAB   C8    CK   2.00    0.80 
DAB   H8    H5   1.25    0.85
DAB   N7    NB   1.7063    0.79
DAB   C5    CB   1.875    0.72
DAB   C6    CA   1.875    0.72
DAB   N6    N2   1.7063    0.79
DAB   H61    H   1.15    0.85
DAB   H62    H   1.15    0.85
DAB   N1    NC   2.00    0.80 
DAB   C2    CQ   2.00    0.80 
DAB   H2    H5   1.25    0.85
DAB   N3    NC   2.00    0.80 
DAB   C4    CB   1.875    0.72
DAB   C3'    CT   1.9    0.72
DAB   H3'    H1   1.25    0.85
DAB   C2'    CT   1.9    0.72
DAB   H2'    HC   1.25    0.85
DAB   H2''    HC   1.25    0.85
DAB   O3'    OS   2.00    0.80 
DA   P    P   2.00    0.80 
DA   OP1    O2   1.48    0.85
DA   OP2    O2   1.48    0.85
DA   O5'    OS   2.00    0.80 
DA   C5'    CT   1.9    0.72
DA   H5'    H1   1.25    0.85
DA   H5''    H1   1.25    0.85
DA   C4'    CT   1.9    0.72
DA   H4'    H1   1.25    0.85
DA   O4'    OS   2.00    0.80 
DA   C1'    CT   1.9    0.72
DA   H1'    H2   2.00    0.80 
DA   N9    N*   2.00    0.80 
DA   C8    CK   2.00    0.80 
DA   H8    H5   1.25    0.85
DA   N7    NB   1.7063    0.79
DA   C5    CB   1.875    0.72
DA   C6    CA   1.875    0.72
DA   N6    N2   1.7063    0.79
DA   H61    H   1.15    0.85
DA   H62    H   1.15    0.85
DA   N1    NC   2.00    0.80 
DA   C2    CQ   2.00    0.80 
DA   H2    H5   1.25    0.85
DA   N3    NC   2.00    0.80 
DA   C4    CB   1.875    0.72
DA   C3'    CT   1.9    0.72
DA   H3'    H1   1.25    0.85
DA   C2'    CT   1.9    0.72
DA   H2'    HC   1.25    0.85
DA   H2''    HC   1.25    0.85
DA   O3'    OS   2.00    0.80 
DAE   P    P   2.00    0.80 
DAE   OP1    O2   1.48    0.85
DAE   OP2    O2   1.48    0.85
DAE   O5'    OS   2.00    0.80 
DAE   C5'    CT   1.9    0.72
DAE   H5'    H1   1.25    0.85
DAE   H5''    H1   1.25    0.85
DAE   C4'    CT   1.9    0.72
DAE   H4'    H1   1.25    0.85
DAE   O4'    OS   2.00    0.80 
DAE   C1'    CT   1.9    0.72
DAE   H1'    H2   2.00    0.80 
DAE   N9    N*   2.00    0.80 
DAE   C8    CK   2.00    0.80 
DAE   H8    H5   1.25    0.85
DAE   N7    NB   1.7063    0.79
DAE   C5    CB   1.875    0.72
DAE   C6    CA   1.875    0.72
DAE   N6    N2   1.7063    0.79
DAE   H61    H   1.15    0.85
DAE   H62    H   1.15    0.85
DAE   N1    NC   2.00    0.80 
DAE   C2    CQ   2.00    0.80 
DAE   H2    H5   1.25    0.85
DAE   N3    NC   2.00    0.80 
DAE   C4    CB   1.875    0.72
DAE   C3'    CT   1.9    0.72
DAE   H3'    H1   1.25    0.85
DAE   C2'    CT   1.9    0.72
DAE   H2'    HC   1.25    0.85
DAE   H2''    HC   1.25    0.85
DAE   O3'    OH   1.535    0.85
DAE   HO3'    HO   1.05    0.85
DTB   HO5'    HO   1.05    0.85
DTB   O5'    OH   1.535    0.85
DTB   C5'    CT   1.9    0.72
DTB   H5'    H1   1.25    0.85
DTB   H5''    H1   1.25    0.85
DTB   C4'    CT   1.9    0.72
DTB   H4'    H1   1.25    0.85
DTB   O4'    OS   2.00    0.80 
DTB   C1'    CT   1.9    0.72
DTB   H1'    H2   2.00    0.80 
DTB   N1    N*   2.00    0.80 
DTB   C6    CM   2.00    0.80 
DTB   H6    H4   1.15    0.85
DTB   C5    CM   2.00    0.80 
DTB   C7    CT   1.9    0.72
DTB   H71    HC   1.25    0.85
DTB   H72    HC   1.25    0.85
DTB   H73    HC   1.25    0.85
DTB   C4    C   1.875    0.72
DTB   O4    O   1.48    0.85
DTB   N3    NA   1.7063    0.79
DTB   H3    H   1.15    0.85
DTB   C2    C   1.875    0.72
DTB   O2    O   1.48    0.85
DTB   C3'    CT   1.9    0.72
DTB   H3'    H1   1.25    0.85
DTB   C2'    CT   1.9    0.72
DTB   H2'    HC   1.25    0.85
DTB   H2''    HC   1.25    0.85
DTB   O3'    OS   2.00    0.80 
DT   P    P   2.00    0.80 
DT   OP1    O2   1.48    0.85
DT   OP2    O2   1.48    0.85
DT   O5'    OS   2.00    0.80 
DT   C5'    CT   1.9    0.72
DT   H5'    H1   1.25    0.85
DT   H5''    H1   1.25    0.85
DT   C4'    CT   1.9    0.72
DT   H4'    H1   1.25    0.85
DT   O4'    OS   2.00    0.80 
DT   C1'    CT   1.9    0.72
DT   H1'    H2   2.00    0.80 
DT   N1    N*   2.00    0.80 
DT   C6    CM   2.00    0.80 
DT   H6    H4   1.15    0.85
DT   C5    CM   2.00    0.80 
DT   C7    CT   1.9    0.72
DT   H71    HC   1.25    0.85
DT   H72    HC   1.25    0.85
DT   H73    HC   1.25    0.85
DT   C4    C   1.875    0.72
DT   O4    O   1.48    0.85
DT   N3    NA   1.7063    0.79
DT   H3    H   1.15    0.85
DT   C2    C   1.875    0.72
DT   O2    O   1.48    0.85
DT   C3'    CT   1.9    0.72
DT   H3'    H1   1.25    0.85
DT   C2'    CT   1.9    0.72
DT   H2'    HC   1.25    0.85
DT   H2''    HC   1.25    0.85
DT   O3'    OS   2.00    0.80 
DTE   P    P   2.00    0.80 
DTE   OP1    O2   1.48    0.85
DTE   OP2    O2   1.48    0.85
DTE   O5'    OS   2.00    0.80 
DTE   C5'    CT   1.9    0.72
DTE   H5'    H1   1.25    0.85
DTE   H5''    H1   1.25    0.85
DTE   C4'    CT   1.9    0.72
DTE   H4'    H1   1.25    0.85
DTE   O4'    OS   2.00    0.80 
DTE   C1'    CT   1.9    0.72
DTE   H1'    H2   2.00    0.80 
DTE   N1    N*   2.00    0.80 
DTE   C6    CM   2.00    0.80 
DTE   H6    H4   1.15    0.85
DTE   C5    CM   2.00    0.80 
DTE   C7    CT   1.9    0.72
DTE   H71    HC   1.25    0.85
DTE   H72    HC   1.25    0.85
DTE   H73    HC   1.25    0.85
DTE   C4    C   1.875    0.72
DTE   O4    O   1.48    0.85
DTE   N3    NA   1.7063    0.79
DTE   H3    H   1.15    0.85
DTE   C2    C   1.875    0.72
DTE   O2    O   1.48    0.85
DTE   C3'    CT   1.9    0.72
DTE   H3'    H1   1.25    0.85
DTE   C2'    CT   1.9    0.72
DTE   H2'    HC   1.25    0.85
DTE   H2''    HC   1.25    0.85
DTE   O3'    OH   1.535    0.85
DTE   HO3'    HO   1.05    0.85
DGB   HO5'    HO   1.05    0.85
DGB   O5'    OH   1.535    0.85
DGB   C5'    CT   1.9    0.72
DGB   H5'    H1   1.25    0.85
DGB   H5''    H1   1.25    0.85
DGB   C4'    CT   1.9    0.72
DGB   H4'    H1   1.25    0.85
DGB   O4'    OS   2.00    0.80 
DGB   C1'    CT   1.9    0.72
DGB   H1'    H2   2.00    0.80 
DGB   N9    N*   2.00    0.80 
DGB   C8    CK   2.00    0.80 
DGB   H8    H5   1.25    0.85
DGB   N7    NB   1.7063    0.79
DGB   C5    CB   1.875    0.72
DGB   C6    C   1.875    0.72
DGB   O6    O   1.48    0.85
DGB   N1    NA   1.7063    0.79
DGB   H1    H   1.15    0.85
DGB   C2    CA   1.875    0.72
DGB   N2    N2   1.7063    0.79
DGB   H21    H   1.15    0.85
DGB   H22    H   1.15    0.85
DGB   N3    NC   2.00    0.80 
DGB   C4    CB   1.875    0.72
DGB   C3'    CT   1.9    0.72
DGB   H3'    H1   1.25    0.85
DGB   C2'    CT   1.9    0.72
DGB   H2'    HC   1.25    0.85
DGB   H2''    HC   1.25    0.85
DGB   O3'    OS   2.00    0.80 
DG   P    P   2.00    0.80 
DG   OP1    O2   1.48    0.85
DG   OP2    O2   1.48    0.85
DG   O5'    OS   2.00    0.80 
DG   C5'    CT   1.9    0.72
DG   H5'    H1   1.25    0.85
DG   H5''    H1   1.25    0.85
DG   C4'    CT   1.9    0.72
DG   H4'    H1   1.25    0.85
DG   O4'    OS   2.00    0.80 
DG   C1'    CT   1.9    0.72
DG   H1'    H2   2.00    0.80 
DG   N9    N*   2.00    0.80 
DG   C8    CK   2.00    0.80 
DG   H8    H5   1.25    0.85
DG   N7    NB   1.7063    0.79
DG   C5    CB   1.875    0.72
DG   C6    C   1.875    0.72
DG   O6    O   1.48    0.85
DG   N1    NA   1.7063    0.79
DG   H1    H   1.15    0.85
DG   C2    CA   1.875    0.72
