#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
HID   ND1    NA   1.7063    0.79
HID   HD1    H   1.15    0.85
HID   CE1    CR   1.875    0.72
HID   HE1    H5   1.25    0.85
HID   NE2    NB   1.7063    0.79
HID   CD2    CV   1.875    0.72
HID   HD2    H4   1.15    0.85
HID   C    C   1.875    0.72
HID   O    O   1.48    0.85
HIE   N    N   1.7063    0.79
HIE   H    H   1.15    0.85
HIE   CA    CT   1.9    0.72
HIE   HA    H1   1.25    0.85
HIE   CB    CT   1.9    0.72
HIE   HB2    HC   1.25    0.85
HIE   HB3    HC   1.25    0.85
HIE   CG    CC   1.875    0.72
HIE   ND1    NB   1.7063    0.79
HIE   CE1    CR   1.875    0.72
HIE   HE1    H5   1.25    0.85
HIE   NE2    NA   1.7063    0.79
HIE   HE2    H   1.15    0.85
HIE   CD2    CW   1.875    0.72
HIE   HD2    H4   1.15    0.85
HIE   C    C   1.875    0.72
HIE   O    O   1.48    0.85
HIP   N    N   1.7063    0.79
HIP   H    H   1.15    0.85
HIP   CA    CT   1.9    0.72
HIP   HA    H1   1.25    0.85
HIP   CB    CT   1.9    0.72
HIP   HB2    HC   1.25    0.85
HIP   HB3    HC   1.25    0.85
HIP   CG    CC   1.875    0.72
HIP   ND1    NA   1.7063    0.79
HIP   HD1    H   1.15    0.85
HIP   CE1    CR   1.875    0.72
HIP   HE1    H5   1.25    0.85
HIP   NE2    NA   1.7063    0.79
HIP   HE2    H   1.15    0.85
HIP   CD2    CW   1.875    0.72
HIP   HD2    H4   1.15    0.85
HIP   C    C   1.875    0.72
HIP   O    O   1.48    0.85
TRP   N    N   1.7063    0.79
TRP   H    H   1.15    0.85
TRP   CA    CT   1.9    0.72
TRP   HA    H1   1.25    0.85
TRP   CB    CT   1.9    0.72
TRP   HB2    HC   1.25    0.85
TRP   HB3    HC   1.25    0.85
TRP   CG    C*   1.875    0.72
TRP   CD1    CW   1.875    0.72
TRP   HD1    H4   1.15    0.85
TRP   NE1    NA   1.7063    0.79
TRP   HE1    H   1.15    0.85
TRP   CE2    CN   1.875    0.72
TRP   CZ2    CA   1.875    0.72
TRP   HZ2    HA   1.25    0.85
TRP   CH2    CA   1.875    0.72
TRP   HH2    HA   1.25    0.85
TRP   CZ3    CA   1.875    0.72
TRP   HZ3    HA   1.25    0.85
TRP   CE3    CA   1.875    0.72
TRP   HE3    HA   1.25    0.85
TRP   CD2    CB   1.875    0.72
TRP   C    C   1.875    0.72
TRP   O    O   1.48    0.85
PHE   N    N   1.7063    0.79
PHE   H    H   1.15    0.85
PHE   CA    CT   1.9    0.72
PHE   HA    H1   1.25    0.85
PHE   CB    CT   1.9    0.72
PHE   HB2    HC   1.25    0.85
PHE   HB3    HC   1.25    0.85
PHE   CG    CA   1.875    0.72
PHE   CD1    CA   1.875    0.72
PHE   HD1    HA   1.25    0.85
PHE   CE1    CA   1.875    0.72
PHE   HE1    HA   1.25    0.85
PHE   CZ    CA   1.875    0.72
PHE   HZ    HA   1.25    0.85
PHE   CE2    CA   1.875    0.72
PHE   HE2    HA   1.25    0.85
PHE   CD2    CA   1.875    0.72
PHE   HD2    HA   1.25    0.85
PHE   C    C   1.875    0.72
PHE   O    O   1.48    0.85
TYR   N    N   1.7063    0.79
TYR   H    H   1.15    0.85
TYR   CA    CT   1.9    0.72
TYR   HA    H1   1.25    0.85
TYR   CB    CT   1.9    0.72
TYR   HB2    HC   1.25    0.85
TYR   HB3    HC   1.25    0.85
TYR   CG    CA   1.875    0.72
TYR   CD1    CA   1.875    0.72
TYR   HD1    HA   1.25    0.85
TYR   CE1    CA   1.875    0.72
TYR   HE1    HA   1.25    0.85
TYR   CZ    C   1.875    0.72
TYR   OH    OH   1.535    0.85
TYR   HH    HO   1.05    0.85
TYR   CE2    CA   1.875    0.72
TYR   HE2    HA   1.25    0.85
TYR   CD2    CA   1.875    0.72
TYR   HD2    HA   1.25    0.85
TYR   C    C   1.875    0.72
TYR   O    O   1.48    0.85
GLU   N    N   1.7063    0.79
GLU   H    H   1.15    0.85
GLU   CA    CT   1.9    0.72
GLU   HA    H1   1.25    0.85
GLU   CB    CT   1.9    0.72
GLU   HB2    HC   1.25    0.85
GLU   HB3    HC   1.25    0.85
GLU   CG    CT   1.9    0.72
GLU   HG2    HC   1.25    0.85
GLU   HG3    HC   1.25    0.85
GLU   CD    C   1.875    0.72
GLU   OE1    O2   1.48    0.85
GLU   OE2    O2   1.48    0.85
GLU   C    C   1.875    0.72
GLU   O    O   1.48    0.85
ASP   N    N   1.7063    0.79
ASP   H    H   1.15    0.85
ASP   CA    CT   1.9    0.72
ASP   HA    H1   1.25    0.85
ASP   CB    CT   1.9    0.72
ASP   HB2    HC   1.25    0.85
ASP   HB3    HC   1.25    0.85
ASP   CG    C   1.875    0.72
ASP   OD1    O2   1.48    0.85
ASP   OD2    O2   1.48    0.85
ASP   C    C   1.875    0.72
ASP   O    O   1.48    0.85
LYS   N    N   1.7063    0.79
LYS   H    H   1.15    0.85
LYS   CA    CT   1.9    0.72
LYS   HA    H1   1.25    0.85
LYS   CB    CT   1.9    0.72
LYS   HB2    HC   1.25    0.85
LYS   HB3    HC   1.25    0.85
LYS   CG    CT   1.9    0.72
LYS   HG2    HC   1.25    0.85
LYS   HG3    HC   1.25    0.85
LYS   CD    CT   1.9    0.72
LYS   HD2    HC   1.25    0.85
LYS   HD3    HC   1.25    0.85
LYS   CE    CT   1.9    0.72
LYS   HE2    HP   1.25    0.85
LYS   HE3    HP   1.25    0.85
LYS   NZ    N3   1.625    0.79
LYS   HZ1    H   1.15    0.85
LYS   HZ2    H   1.15    0.85
LYS   HZ3    H   1.15    0.85
LYS   C    C   1.875    0.72
LYS   O    O   1.48    0.85
LYN   N    N   1.7063    0.79
LYN   H    H   1.15    0.85
LYN   CA    CT   1.9    0.72
LYN   HA    H1   1.25    0.85
LYN   CB    CT   1.9    0.72
LYN   HB2    HC   1.25    0.85
LYN   HB3    HC   1.25    0.85
LYN   CG    CT   1.9    0.72
LYN   HG2    HC   1.25    0.85
LYN   HG3    HC   1.25    0.85
LYN   CD    CT   1.9    0.72
LYN   HD2    HC   1.25    0.85
LYN   HD3    HC   1.25    0.85
LYN   CE    CT   1.9    0.72
LYN   HE2    HP   1.25    0.85
LYN   HE3    HP   1.25    0.85
LYN   NZ    N3   1.625    0.79
LYN   HZ1    H   1.15    0.85
LYN   HZ2    H   1.15    0.85
LYN   C    C   1.875    0.72
LYN   O    O   1.48    0.85
PRO   N    N   1.7063    0.79
PRO   CD    CT   1.9    0.72
PRO   HD2    H1   1.25    0.85
PRO   HD3    H1   1.25    0.85
PRO   CG    CT   1.9    0.72
PRO   HG2    HC   1.25    0.85
PRO   HG3    HC   1.25    0.85
