# Solvent params for SGB 

# residue  PDBatomName radNpSGB radNpType SGBNpGamma  SGBNpType

arge HH22  0.9960   0.8600   0.079817800  -1.129220000
arge _CA_  1.9750   1.7500   0.000085900  -0.754493700
arge _CB_  1.9750   1.7500   0.000085900  -0.754493700
arge _CD_  1.9750   1.7500   0.000085900  -0.754493700
arge _CG_  1.9750   1.7500   0.000085900  -0.754493700
arge _CZ_  1.2880   1.1250  -0.026970600   0.118943300
arge _C__  2.1120   1.8750  -0.026933700  -0.722204000
arge _HA_  1.4250   1.2500   0.008394800   0.285390400
arge _HB2  1.4250   1.2500   0.008394800   0.285390400
arge _HB3  1.4250   1.2500   0.008394800   0.285390400
arge _HD2  1.4250   1.2500   0.008394800   0.285390400
arge _HD3  1.4250   1.2500   0.008394800   0.285390400
arge _HE_  0.9960   0.8600   0.079817800  -1.129220000
arge _HG2  1.4250   1.2500   0.008394800   0.285390400
arge _HG3  1.4250   1.2500   0.008394800   0.285390400
arge _H__  0.9960   0.8600   0.079817800  -1.129220000
arge _NE_  1.8380   1.6250  -0.098957700   1.177961700
arge _NH1  1.8380   1.6250  -0.098957700   1.177961700
arge _NH2  1.8380   1.6250  -0.098957700   1.177961700
arge _N__  1.9200   1.7000   0.168599800  -5.228863800
arge _OXT  1.6780   1.4800  -0.350477400  15.005156000
arge _O__  1.6780   1.4800  -0.350477400  15.005156000
argz HH11  0.9960   0.8600   0.079817800  -1.129220000
argz HH12  0.9960   0.8600   0.079817800  -1.129220000
argz HH21  0.9960   0.8600   0.079817800  -1.129220000
argz HH22  0.9960   0.8600   0.079817800  -1.129220000
argz _CA_  1.9750   1.7500   0.000085900  -0.754493700
argz _CB_  1.9750   1.7500   0.000085900  -0.754493700
argz _CD_  1.9750   1.7500   0.000085900  -0.754493700
argz _CG_  1.9750   1.7500   0.000085900  -0.754493700
argz _CZ_  1.2880   1.1250  -0.026970600   0.118943300
argz _C__  2.1120   1.8750  -0.026933700  -0.722204000
argz _H1_  0.9960   0.8600   0.079817800  -1.129220000
argz _H2_  0.9960   0.8600   0.079817800  -1.129220000
argz _H3_  0.9960   0.8600   0.079817800  -1.129220000
argz _HA_  1.4250   1.2500   0.008394800   0.285390400
argz _HB2  1.4250   1.2500   0.008394800   0.285390400
argz _HB3  1.4250   1.2500   0.008394800   0.285390400
argz _HD2  1.4250   1.2500   0.008394800   0.285390400
argz _HD3  1.4250   1.2500   0.008394800   0.285390400
